So.,1955-10-09 00:00:00,Unnamed: 2,Unnamed: 3,3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12,13,Unnamed: 15,Unnamed: 16,16,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
So.,1956-09-30,,,,,,,,,9.0,10.0,,,,,,,,,,,,,,24.0,,,27.0,,,,,,,,,36.0,,,39.0,,,,,,,,,,,,
So.,1956-10-07,,,,,,6.0,,,9.0,,,,,,,,,,,,,,,,,,,,29.0,,,,33.0,,,36.0,,,,,,,,44.0,,,,,,,
So.,1956-10-14,,,,,,,,,,10.0,11.0,12.0,,,,,,,,,,,,,25.0,,,,,,,32.0,,,,,,,,,,42.0,,,,,,,,,
So.,1956-10-21,1.0,2.0,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,36.0,,,,,41.0,,,,,,,48.0,,,
So.,1956-10-28,,,,,5.0,,,,,,,,,,,,17.0,,,,,,,,,,,,29.0,,,,,,,,,,39.0,,,,,,,,47.0,,49.0,,
So.,1956-11-04,,,,,,,7.0,,,,,,,,,16.0,,,19.0,,,,,,,,,,,,,,33.0,,,,,38.0,39.0,,,,,,,,,,,,
So.,1956-11-11,,,,,,,7.0,,,,,,,14.0,,,,,,,,,,,,,,,29.0,,,,,34.0,,36.0,,,,,,,,,,,,,49.0,,
So.,1956-11-18,,,,,,,,,,,,,,14.0,,16.0,,,,,,,,,,,,28.0,,,,,,,,,37.0,,39.0,40.0,,,,,,,,,,,
So.,1956-11-25,,,,,,6.0,,,9.0,,,,,,,16.0,,,,,,,,,25.0,,,,,,,,,,,36.0,,,,,,,,44.0,,,,,,,
So.,1956-12-02,,,,,,,,,9.0,10.0,,,,,15.0,,,,,,21.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,47.0,,,,
So.,1956-12-09,,,,,,6.0,7.0,,,,11.0,,13.0,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,43.0,,,,,,,,
So.,1956-12-16,,,,,,,,,,,,,,,15.0,,17.0,,,20.0,,,23,,,,,,,,31.0,,,,35.0,,,,,,,,,,,,,,,,
So.,1956-12-23,1.0,,,,5.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,47.0,,49.0,,
So.,1957-01-06,,,,,,,,,,,11.0,,,,,,17.0,,,,,,23,,,26.0,,,,,31.0,,,,,,,38.0,,,,,,,,,,,,,
So.,1957-01-13,,,,4.0,,,,,,,,,,,15.0,16.0,17.0,,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So.,1957-01-20,,,3.0,,,6.0,7.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,47.0,,,,
So.,1957-01-27,,2.0,,,,6.0,,,9.0,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,39.0,,,,,,,,,,49.0,,
So.,1957-02-03,,,,,,6.0,,,,,,12.0,,,,,,,,,,,,,,,,,,30.0,,,,34.0,,,,,39.0,,,,43.0,,,,,,,,
So.,1957-02-10,,,,,,,,,9.0,,,,,,,,17.0,18.0,19.0,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,49.0,,
